Model Year,Real-World CO2(g/mi),Real-World FE (mpg),Weight (lbs),Horsepower (HP),"0 to 60
(s)",Footprint (ft2),Car Production Share,Truck Production Share
1975,681,13.1,4060,137,-,-,0.807,0.193
1976,625,14.2,4079,135,-,-,0.789,0.211
1977,590,15.1,3982,136,-,-,0.801,0.199
1978,562,15.8,3715,129,13.6,-,0.775,0.225
1979,560,15.9,3655,124,14.6,-,0.779,0.221
1980,466,19.2,3228,104,15.6,-,0.835,0.165
1981,436,20.5,3202,102,15.6,-,0.828,0.172
1982,425,21.1,3202,103,16.6,-,0.805,0.195
1983,426,21.0,3257,107,14.9,-,0.78,0.22
1984,424,21.0,3262,109,14.7,-,0.765,0.235
1985,417,21.3,3271,114,14.1,-,0.752,0.248
1986,407,21.8,3238,114,13.4,-,0.721,0.279
1987,405,22.0,3221,118,13.4,-,0.728,0.272
1988,407,21.9,3283,123,13.3,-,0.709,0.291
1989,415,21.4,3351,129,12.5,-,0.701,0.299
1990,420,21.2,3426,135,11.5,-,0.704,0.296
1991,418,21.3,3410,138,11.4,-,0.696,0.304
1992,427,20.8,3512,145,11,-,0.686,0.314
1993,426,20.9,3519,147,10.3,-,0.676,0.324
1994,436,20.4,3603,152,10.1,-,0.619,0.381
1995,434,20.5,3613,158,10.1,-,0.635,0.365
1996,435,20.4,3659,164,10.4,-,0.622,0.378
1997,441,20.2,3727,169,10.2,-,0.601,0.399
1998,442,20.1,3744,171,10.4,-,0.583,0.417
1999,451,19.7,3835,179,10.3,-,0.583,0.417
2000,450,19.8,3821,181,9.8,-,0.588,0.412
2001,453,19.6,3879,187,9.5,-,0.586,0.414
2002,457,19.5,3951,195,9.4,-,0.552,0.448
2003,454,19.6,3999,199,9.3,-,0.539,0.461
2004,461,19.3,4111,211,9.1,-,0.52,0.48
2005,447,19.9,4059,209,9,-,0.556,0.444
2006,442,20.1,4067,213,8.9,-,0.579,0.421
2007,431,20.6,4093,217,8.9,-,0.589,0.411
2008,424,21.0,4085,219,8.9,48.9,0.593,0.407
2009,397,22.4,3914,208,8.8,47.9,0.67,0.33
2010,394,22.6,4001,214,8.8,48.5,0.628,0.372
2011,399,22.3,4126,230,8.5,49.5,0.578,0.422
2012,377,23.6,3979,222,8.5,48.8,0.644,0.356
2013,368,24.2,4003,226,8.4,49.1,0.641,0.359
2014,369,24.1,4060,230,8.3,49.7,0.593,0.407
2015,361,24.6,4035,229,8.3,49.4,0.574,0.426
2016,359,24.7,4035,230,8.3,49.5,0.553,0.447
2017,357,24.9,4093,233,8.2,49.8,0.525,0.475
2018,348,25.4,4094,237,8,50,0.517,0.483
